city,lan,log,o3_ppb
Morristown,40.7968,-74.4818,29.722242
Morristown,40.7968,-74.4818,29.511831
Morristown,40.7968,-74.4818,33.419823
Morristown,40.7968,-74.4818,30.306602
Morristown,40.7968,-74.4818,31.968534
Morristown,40.7968,-74.4818,32.321674
Morristown,40.7968,-74.4818,31.158112
Morristown,40.7968,-74.4818,32.84067
Morristown,40.7968,-74.4818,30.066303
Morristown,40.7968,-74.4818,29.53867
Morristown,40.7968,-74.4818,32.02241
Morristown,40.7968,-74.4818,32.10934
Morristown,40.7968,-74.4818,34.483246
Morristown,40.7968,-74.4818,33.562477
Morristown,40.7968,-74.4818,30.427711
Morristown,40.7968,-74.4818,29.699015
Morristown,40.7968,-74.4818,29.644596
Morristown,40.7968,-74.4818,32.900356
Morristown,40.7968,-74.4818,29.530508
Morristown,40.7968,-74.4818,29.974806
Morristown,40.7968,-74.4818,29.989916
Morristown,40.7968,-74.4818,30.48498
Morristown,40.7968,-74.4818,30.473974
Morristown,40.7968,-74.4818,29.084288
Morristown,40.7968,-74.4818,29.542522
Morristown,40.7968,-74.4818,29.550217
Morristown,40.7968,-74.4818,29.442585
Morristown,40.7968,-74.4818,30.065607
Morristown,40.7968,-74.4818,29.43069
Morristown,40.7968,-74.4818,30.293783
Morristown,40.7968,-74.4818,29.95473
Morristown,40.7968,-74.4818,29.123415